id_from,id_to
0,90
90,0
0,73
73,0
0,91
91,0
0,225
225,0
0,200
200,0
0,145
145,0
0,186
186,0
0,156
156,0
0,329
329,0
0,108
108,0
0,282
282,0
0,289
289,0
0,201
201,0
0,223
223,0
0,261
261,0
0,120
120,0
0,292
292,0
0,320
320,0
0,81
81,0
0,243
243,0
0,1
1,0
0,310
310,0
0,56
56,0
0,176
176,0
0,53
53,0
0,208
208,0
0,288
288,0
0,32
32,0
0,275
275,0
0,76
76,0
1,90
90,1
1,91
91,1
1,145
145,1
1,156
156,1
1,83
83,1
1,279
279,1
1,329
329,1
1,74
74,1
1,52
52,1
1,108
108,1
1,61
61,1
1,154
154,1
1,252
252,1
1,223
223,1
1,261
261,1
1,79
79,1
1,137
137,1
1,42
42,1
1,320
320,1
1,243
243,1
1,68
68,1
1,85
85,1
1,320
320,1
1,134
134,1
1,276
276,1
1,53
53,1
1,77
77,1
1,253
253,1
1,275
275,1
1,41
41,1
2,90
90,2
2,91
91,2
2,281
281,2
2,145
145,2
2,177
177,2
2,156
156,2
2,99
99,2
2,329
329,2
2,40
40,2
2,180
180,2
2,102
102,2
2,326
326,2
2,112
112,2
2,240
240,2
2,283
283,2
2,153
153,2
2,282
282,2
2,289
289,2
2,101
101,2
2,267
267,2
2,150
150,2
2,254
254,2
2,173
173,2
2,271
271,2
2,3
3,2
2,317
317,2
2,136
136,2
2,239
239,2
2,221
221,2
2,249
249,2
2,292
292,2
2,84
84,2
2,320
320,2
2,115
115,2
2,81
81,2
2,274
274,2
2,310
310,2
2,222
222,2
2,183
183,2
2,303
303,2
2,45
45,2
2,65
65,2
2,53
53,2
2,124
124,2
2,300
300,2
2,288
288,2
2,32
32,2
2,275
275,2
2,285
285,2
2,269
269,2
2,174
174,2
3,328
328,3
3,71
71,3
3,16
16,3
3,294
294,3
3,104
104,3
3,182
182,3
3,40
40,3
3,47
47,3
3,35
35,3
3,10
10,3
3,95
95,3
3,188
188,3
3,70
70,3
3,17
17,3
3,212
212,3
3,49
49,3
3,25
25,3
3,93
93,3
3,330
330,3
3,271
271,3
3,26
26,3
3,6
6,3
3,89
89,3
3,296
296,3
3,249
249,3
3,230
230,3
3,274
274,3
3,92
92,3
3,272
272,3
3,87
87,3
3,34
34,3
3,103
103,3
3,280
280,3
3,220
220,3
3,126
126,3
3,107
107,3
3,277
277,3
4,177
177,4
4,101
101,4
4,93
93,4
4,6
6,4
4,274
274,4
5,74
74,5
5,315
315,5
5,101
101,5
5,144
144,5
5,115
115,5
5,187
187,5
5,45
45,5
5,300
300,5
5,146
146,5
5,269
269,5
6,205
205,6
6,328
328,6
6,232
232,6
6,16
16,6
6,210
210,6
6,331
331,6
6,104
104,6
6,209
209,6
6,40
40,6
6,27
27,6
6,10
10,6
6,95
95,6
6,70
70,6
6,9
9,6
6,17
17,6
6,212
212,6
6,49
49,6
6,25
25,6
6,93
93,6
6,216
216,6
6,330
330,6
6,271
271,6
6,26
26,6
6,89
89,6
6,249
249,6
6,274
274,6
6,87
87,6
6,34
34,6
6,107
107,6
6,105
105,6
7,96
96,7
7,329
329,7
7,74
74,7
7,55
55,7
7,180
180,7
7,315
315,7
7,268
268,7
7,153
153,7
7,46
46,7
7,256
256,7
7,132
132,7
7,289
289,7
7,101
101,7
7,267
267,7
7,311
311,7
7,29
29,7
7,165
165,7
7,64
64,7
7,144
144,7
7,84
84,7
7,115
115,7
7,139
139,7
7,187
187,7
7,303
303,7
7,45
45,7
7,135
135,7
7,138
138,7
7,65
65,7
7,300
300,7
7,146
146,7
7,30
30,7
7,269
269,7
9,205
205,9
9,232
232,9
9,210
210,9
9,331
331,9
9,104
104,9
9,40
40,9
9,27
27,9
9,70
70,9
9,49
49,9
9,25
25,9
9,93
93,9
9,246
246,9
9,26
26,9
9,89
89,9
9,249
249,9
9,128
128,9
9,34
34,9
9,220
220,9
9,107
107,9
10,328
328,10
10,49
49,10
10,93
93,10
10,26
26,10
10,249
249,10
11,313
313,11
12,145
145,12
13,189
189,13
16,328
328,16
16,71
71,16
16,331
331,16
16,327
327,16
16,40
40,16
16,35
35,16
16,17
17,16
16,49
49,16
16,25
25,16
16,93
93,16
16,271
271,16
16,26
26,16
16,249
249,16
16,230
230,16
16,92
92,16
16,103
103,16
16,220
220,16
16,126
126,16
17,328
328,17
17,294
294,17
17,210
210,17
17,104
104,17
17,182
182,17
17,95
95,17
17,188
188,17
17,49
49,17
17,25
25,17
17,93
93,17
17,89
89,17
17,249
249,17
17,103
103,17
17,85
85,17
17,34
34,17
17,220
220,17
17,126
126,17
18,125
125,18
19,71
71,19
19,122
122,19
19,47
47,19
19,75
75,19
19,326
326,19
19,188
188,19
19,49
49,19
19,33
33,19
19,257
257,19
19,227
227,19
19,92
92,19
19,280
280,19
20,145
145,20
20,282
282,20
20,201
201,20
20,120
120,20
20,76
76,20
24,170
170,24
